member_tel|member_name|member_birth
010-5555-0005|±Ë∞¯ø¿|950506-1
010-5555-0006|±Ë∞¯¿∞|950507-1
010-5555-0007|±Ë∞¯ƒ•|950508-1
010-5555-0008|±Ë∞¯∆»|950509-1
010-5555-0009|±Ë∞¯±∏|950510-1
010-5555-0010|±Ë∞¯Ω |950511-1
010-5555-0011|±ËΩ ¿œ|950512-1
010-5555-0012|±ËΩ ¿Ã|950513-1
010-5555-0013|±ËΩ ªÔ|950514-1
010-5555-0014|±ËΩ ªÁ|950515-1
010-5555-0015|±ËΩ ø¿|950516-1
010-5555-0016|±ËΩ ¿∞|950517-1
010-5555-0017|±ËΩ ƒ•|950518-1
010-5555-0018|±ËΩ ∆»|950519-1
010-5555-0019|±ËΩ ±∏|950520-1
010-5555-0020|±Ë¿ÃΩ |950521-1
010-5555-0021|±Ë¿ÃΩ ¿œ|950522-1
010-5555-0022|±Ë¿ÃΩ ¿Ã|950523-1
010-5555-0023|±Ë¿ÃΩ ªÔ|950524-1
010-5555-0024|±Ë¿ÃΩ ªÁ|950525-1
010-5555-0025|±Ë¿ÃΩ ø¿|950526-1
010-5555-0026|±Ë¿ÃΩ ¿∞|950527-1
010-5555-0027|±Ë¿ÃΩ ƒ•|950528-1
010-5555-0028|±Ë¿ÃΩ ∆»|950529-1
010-5555-0029|±Ë¿ÃΩ ±∏|950530-1
010-5555-0030|±ËªÔΩ |950531-1
010-5555-0031|±ËªÔΩ ¿œ|950601-1
010-5555-0032|±ËªÔΩ ¿Ã|950602-1
010-5555-0033|±ËªÔΩ ªÔ|950603-1
010-5555-0034|±ËªÔΩ ªÁ|950604-1
010-5555-0035|±ËªÔΩ ø¿|950605-1
010-5555-0036|±ËªÔΩ ¿∞|950606-1
010-5555-0037|±ËªÔΩ ƒ•|950607-1
010-5555-0038|±ËªÔΩ ∆»|950608-1
010-5555-0039|±ËªÔΩ ±∏|950609-1
010-5555-0040|±ËªÁΩ |950610-1
010-5555-0041|±ËªÁΩ ¿œ|950611-1
010-5555-0042|±ËªÁΩ ¿Ã|950612-1
010-5555-0043|±ËªÁΩ ªÔ|950613-1
010-5555-0044|±ËªÁΩ ªÁ|950614-1
010-5555-0045|±ËªÁΩ ø¿|950615-1
010-5555-0046|±ËªÁΩ ¿∞|950616-1
010-5555-0047|±ËªÁΩ ƒ•|950617-1
