ticket_code|wait_number|the_number|license_number|member_tel|ticket_status|ticket_reg
201904161597530000019|0|2|1597530000|010-7373-4812|1|19/04/16 18:32:05.000000000
201904161597530000020|0|3|1597530000|010-5555-0020|1|19/04/16 18:32:05.000000000
201904161597530000021|0|4|1597530000|010-5555-0021|1|19/04/16 18:32:05.000000000
201904161597530000022|0|4|1597530000|010-5555-0022|1|19/04/16 18:32:05.000000000
201904161597530000023|0|2|1597530000|010-5555-0023|1|19/04/16 18:32:05.000000000
201904161597530000024|0|2|1597530000|010-5555-0024|1|19/04/16 18:32:05.000000000
201904161597530000025|0|2|1597530000|010-5555-0025|1|19/04/16 18:32:05.000000000
201904161597530000026|0|2|1597530000|010-5555-0026|1|19/04/16 18:32:05.000000000
201904161597530000027|0|2|1597530000|010-5555-0027|1|19/04/16 18:32:05.000000000
201904161597530000028|0|2|1597530000|010-5555-0028|1|19/04/16 18:32:05.000000000
201904161597530000029|0|2|1597530000|010-5555-0029|1|19/04/16 18:32:05.000000000
201904161597530000030|0|2|1597530000|010-5555-0030|1|19/04/16 18:32:05.000000000
201904161597530000031|0|2|1597530000|010-5555-0031|1|19/04/16 18:32:05.000000000
201904161597530000032|0|2|1597530000|010-5555-0032|1|19/04/16 18:32:05.000000000
201904161597530000033|0|2|1597530000|010-5555-0033|1|19/04/16 18:32:05.000000000
201904161597530000034|0|2|1597530000|010-5555-0034|1|19/04/16 18:32:05.000000000
201904161597530000035|0|2|1597530000|010-5555-0035|1|19/04/16 18:32:05.000000000
201904161597530000036|0|2|1597530000|010-5555-0036|1|19/04/16 18:32:05.000000000
